Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C2, C3, C6, C7",C_Disc_D5.0mm_W2.5mm_P5.00mm,11,100n,
"C10, C17",CP_Radial_D5.0mm_P2.00mm,2,2.2u,
"C4, C5",C_Disc_D5.0mm_W2.5mm_P5.00mm,2,22p,
"C8, C9",0603,2,12p,
G1,SOT-363_SC-70-6,1,2N7002BKS,
J1,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x08,
"J2, J9",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Debug,
J4,PinHeader_1x10_P2.54mm_Vertical,1,Left Header,
J5,PinHeader_1x10_P2.54mm_Vertical,1,Right Header,
"J6, J7, J8",PinHeader_1x05_P2.54mm_Vertical,3,Conn_01x05,
"JP1, JP2, JP3, JP4",PinHeader_1x02_P2.54mm_Vertical,4,Jumper_2_Open,
"R1, R2, R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10k,
"RESET_SW1, USR_SW1",SW_PUSH_6mm_H4.3mm,2,RESET_SW,
U1,Heltec_HT-CT62,1,HT-CT62,
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411CCUx,
U3,ublox_SAM-M8Q,1,SAM-M8Q,
U4,LGA-12_2x2mm_P0.5mm,1,LIS2MDL,
Y1,LFXTAL062558Reel,1,LFXTAL062558Reel,
Y2,Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,1,Crystal_GND24,
