Designator,Mid X,Mid Y,Rotation,Layer
C1,130.29,-67.022,270.0,top
C10,125.591,-66.895,90.0,top
C11,73.78,-68.84,180.0,top
C12,69.965,-49.536,180.0,top
C13,47.45,-53.307,270.0,top
C14,55.995,-50.307,0.0,top
C15,52.915,-53.473,0.0,top
C16,91.186,-71.882,0.0,top
C17,92.964,-67.31,270.0,top
C2,140.958,-61.688,270.0,top
C3,137.5544,-52.3554,0.0,top
C4,116.332,-64.8044,270.0,top
C5,116.332,-53.594,90.0,top
C6,98.298,-71.882,180.0,top
C7,124.194,-52.624,270.0,top
C8,129.665792,-52.776408,45.0,top
C9,128.573592,-51.709608,45.0,top
G1,88.646,-67.31,90.0,top
J1,108.695,-71.888,270.0,bottom
J2,107.415,-46.488,270.0,bottom
J3,144.26,-57.928,180.0,top
J4,132.825,-46.488,270.0,bottom
J5,132.825,-71.888,270.0,bottom
J6,70.595,-71.888,270.0,bottom
J7,70.595,-46.488,270.0,bottom
J8,52.825,-46.488,90.0,bottom
J9,82.042,-59.182,180.0,top
JP1,56.139,-72.136,270.0,top
JP2,56.134,-64.516,270.0,top
JP3,56.134,-68.326,270.0,top
JP4,56.134,-60.706,270.0,top
R1,140.1344,-49.282,180.0,top
R2,121.1,-55.204,270.0,top
R3,85.344,-63.5,270.0,top
R4,85.344,-51.054,90.0,top
RESET_SW1,90.678,-49.784,270.0,top
U1,105.156,-59.182,0.0,top
U2,132.277777,-58.040775,45.0,top
U3,69.33,-59.188,270.0,top
U4,50.665,-50.557,0.0,top
USR_SW1,90.678,-59.436,270.0,top
Y1,116.332,-59.182,270.0,top
Y2,131.101992,-50.245608,315.0,top
